Neutralized SMILES,ATC Codes,predicted_atc4
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@H](CCCCN)C(=O)N1CCC(N)(C(=O)O)CC1,V03AX,A07AA07
CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@@H]2C[C@@H](O)[C@@H](O[C@@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,L01DC,A07BA08
CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,L01AD,A07AA07
C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,N06AA,MCI.A1
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,L02BA,"J

"
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,D07AC; D07CC,J05BA03
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,P01BA,A07AA07
COc1cc(NC(C)CCCN)c2ncccc2c1,P01BA,J01AA06
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,N01AF; N05CA,A07AA07
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,P01BB,A07BC01
CCOC1O[C@H]([C@@H](COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O,C05AX; C05CX,J (Antihistamines)
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,H02AB,A07AA07
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,N05CA,A01AA04
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,N07XX,J05BA02
O=C(O)[C@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,N05BA,M01AA03
OB1OCc2cc(F)ccc21,D01AE,A01EA07
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,N04AA,J01AA03
CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1,R06AX,J11AA
Nc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O,L04AX,A07AA07
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,L04AA,J01AA03
CCCCCCCCCCCC[N+](CCO)(CCO)Cc1ccccc1,A01AB; D08AJ,A01AA02
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,N05AL,A07BA07
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,D05AX; R03DX,A07BC01
CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,R05CA,M01AA03
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,P02CA,A07BA07
CC(CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C,N02CX,A07BA07
CCN(Cc1ccncc1)C(=O)[C@H](CO)c1ccccc1,S01FA,A07AA07
C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,A03BB; A03CB,M05AA02
Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,A01AB; A07AC; D01AC; G01AF; J02AB; S02AA,M05AA02
NCCC[C@H](N)C(=O)O,A05BA,A07AA07
Cc1cccc(Nc2ccccc2C(=O)O)c1C,M01AG,M01AA02
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,C07AB; C07BB; C07CB; C07DB; C07FB,J/01AA03
Nc1nc2nc[nH]c2c(=S)[nH]1,L01BB,A07AA07
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,C02KD,J/01AA
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,C09AA; C09BB,A07AA07
NC1=NC[C@@H]2c3ccccc3Cc3ccccc3N12,R06AX; S01GX,J01AA03
Cc1cccc([C@H](C)c2c[nH]cn2)c1C,N05CM,A02AA04
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,M01AE; M02AA; N02AJ,A07AA07
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)[N+]3(C)C1O,C01BA,A01AA09
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,C01EB; C07FX,J/01AA
NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,L01XK,A07AA07
COc1cc2nc(N3CCN(C(=O)[C@@H]4CCCO4)CC3)nc(N)c2cc1OC,G04CA,A07BA08
CC(=O)N[C@@H]([C@@H](O)[C@H](O)[C@H](O)CO)[C@@H](O)CC(=O)C(=O)O,M09AX,A07AA07
COc1ccc(CCOC2CCCCC2N2CCC(O)C2)cc1OC,C01BG,A07BA08
CC(=O)OCC[N+](C)(C)C,S01EB,A01AA02
C=C1c2c(Cl)ccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,D10AF,A07BA01
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,J01GB,J (J05AA02)
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,C04AD; R03DA,A07AA07
CCN(CC)CCn1c(=O)c(Cc2ccc(OC)cc2)nc2ccccc21,A03AX,E17AA02
CNC1(C)C2CCC(C2)C1(C)C,C02BB,J/01AA
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,C04AX,M05AA06
CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,R03BB,A07BA08
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,R03DA,"J15AA
"
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,N05AA,J1A
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,G03XA,J/01/036
NC(=S)NS(=O)(=O)c1ccc(N)cc1,J01EB,"J15AA
"
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,A03FA,M05AA08
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,B01AC,A01AA02
COc1ccnc(C[S+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,A02BC; A02BD,M01AA03
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,J01EA; J01EE; J04AM,A07BA07
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,D06BB,A07BA08
Nc1ccn(C2CSC(CO)O2)c(=O)n1,J05AF,J/08AA
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,N02AA; N02AJ; R05DA,J/01/02
COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2,N06DA,J/01AA
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,L01BA; L04AX,A07AA07
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,D10AD,"J01AA03
"
CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,C03DA,J01AA08
N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1,D11AH,M01AA03
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,D06BA; G01AE; J01EB,M01AA02
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,J05AB; S01AD,A01AA03
NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,L04AA,A07AA07
C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,N04BC,J Employments
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,J01MA,A07AA07
c1ccc(C(CCN2CCCCC2)c2ccccc2)cc1,A03AX,"J

"
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,G01AE; J01EB; S01AB,J/M01AA
NCCC(O)(P(=O)(O)O)P(=O)(O)O,M05BA,J05BA06
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O,N05BA,J01AA03
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,C05AD; D04AB; N01BA; S01HA,A31AA02
Oc1ncnc2[nH]ncc12,M04AA,J01AA03
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,J05AB; J05AP,A07AA07
NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,J01DC,A07AA07
CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,D11AX; M01AX,A07AA07
C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](Cl)[C@@]12Cl,D07AC,J05BA03
CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C,G04BD,M05AA02
O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,B02BX,A07BA07
CC(C)(Oc1ccc(Cl)cc1)C(=O)OCCCOC(=O)c1cccnc1,C10AB,J/HD/023
CCCCCCc1ccc(O)cc1O,R02AA,M01AA02
Cc1cc(OS(=O)(=O)O)c2ccccc2c1OS(=O)(=O)O,C05BX,A01EA03
O=S(=O)(O)S,M01CB,J01AA01
Cc1nc2cc(C(=O)N(C)C)cc(O[C@H]3CCOc4cc(F)cc(F)c43)c2[nH]1,A02BC,A07BC05
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,D11AX,A01EA03
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,N05CB,A07AA07
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,P01BE,A07AA07
CCCCCCCCCCCCCCCCCCN(CCO)CCCN(CCO)CCO,A01AA,A11AA01
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\\C(=O)O)C(C)(C)CCC1,D10AD; D10BA,M05AA02
CC(C)(C)C(=O)OCCl,R05DA,M01AA08
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,J01AA,A07AA07
O=P(O)(O)OCC(Cl)(Cl)Cl,N05CM,A07BC01
CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,R07AX,"J (J05BA02)
"
CC(C)[C@](C#N)(C[C@H](C)N(C)C)c1ccccc1,R05DB,A09AA09
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N/NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,L01DB,J01AA03
CC(C)CC(CN)CC(=O)O,N03AX,A07AA07
C/C=C(C(=C/C)/c1ccc(O)cc1)\\c1ccc(O)cc1,G03CB; G03CC,A02AA04
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,L01EF,A07BA07
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,L02BB,J/01AA03
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,D01AC; G01AF,A07BA04
Cc1cc(=O)oc2cc(O)ccc12,A05AX,"M01AB01
"
Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,B03XA,A07BA08
CN(C)CCCN1c2ccccc2CCc2ccccc21,N06AA,J01AA01
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,A02BC; A02BD,D06AA06
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,J01CA,A07AA07
CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,N03AX,A07BA08
C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,J05AJ; J05AR; J05AX,E1BC01
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,L01EK,D06AA08
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,J05AG; J05AR,A07BA07
CC(C)C(=O)O[C@H](C)OC(=O)NCC1(CC(=O)O)CCCCC1,N03AX,A07AA07
CCN(CC)CCOC(=O)c1ccc(N)cc1,C05AD; N01BA; S01HA,A07BA08
CCN(CC)CCC1(c2ccccc2)CCC(=O)NC1=O,N04AA,A02AA02
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,D08AJ; R02AA,A02AA04
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,A07AA; J01GA; J04AM,J05AA03
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,N02AC,J/01AA
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,J05AB,A07AA07
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,N04AA,A01AA08
NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,N03AF,J01AA02
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,A03FA,J/01AA03
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,C04AX,M05AA03
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,J02AC,J01AA02
CNC1(c2ccccc2Cl)CCCCC1=O,N01AX,M01AA02
O=P(O)(O)OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,J02AC,A07BC01
COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,L01EL,J05AA03
CCOc1nc2cccc(C(=O)O[C@@H](C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,C09CA,J (A)
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,P03AB,A07BC01
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,J01DC,A07BA08
O[B-]1(O)OO[B-](O)(O)OO1,A01AB,A07AA07
CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\\CCCC(=O)O)[C@@H](O)C[C@H]1O,G02AD,A01EA02
O=C(O)Cc1ccccc1,A16AX,A02AA01
CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,N05AF,J/M05
CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,B01AC,A07BA07
Cc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,R05DA,A01AA01
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,B01AE,A07AA07
FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,N07XX,A02AA04
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,J05AF,J01AA03
O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],C01DA,A07BA06
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,P03AC,J/08AA
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,N05AX,A07BC05
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,A16AX,A01AA01
Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,M01AG,M01AA08
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,L02BX,J05BA01
CCN1C(=O)N[C@H](c2ccccc2)C1=O,N03AB,J01AA03
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,J04AK,J01AA02
CN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,N06AB,J/01AA
CC[C@@H]1/C=C(\\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,D11AH,A07BA08
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,D09AA; R01AX; S01AA,A07BA08
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,N03AX,J01AA02
S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,D01AE,"J11AA
"
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,M04AA,M01AA02
O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,R03DC,H69AA02
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,J05AP,J/02AA04
C[N+]12CCC(CC1)[C@H](OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,A03CA,J15AA
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,D06AA; J01AA,A07AA07
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,N05CJ; N05CM,A07BA08
CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,L01DB,E1AC01
CC(CN1c2ccccc2Sc2ccccc21)[N+](C)(C)C,R06AD,N06AB02
CN(C)CCO[C@H](c1ccc(Cl)cc1)c1ccccn1,R06AA,A09AA09
CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,A03BB; A03DB,A01EA04
CC(Cc1ccccc1)NCCCCl,A08AA,A01AA04
C[N+]1(C)CC[C@@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1,A03AB; R03BB,M05AA04
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(=N)O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,A01AB; J01AA,A07BA04
CCOP(=O)(OCC)SCC[N+](C)(C)C,S01EB,A01AA02
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,N06AX,A07BA08
CCOC(CN1CCN(CC(C)C(=O)c2ccccc2)CC1)c1ccccc1,R05CB,M05AA02
NC(=O)N/N=C1\\C=Cc2ccccc2C1=O,C05CX,A07AA07
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,D05AD; D05BA,J/019
CCCCCCCCC1=C(CCCCCCCC(=O)O)C1,A06AC,A01AA07
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,C10AB,A07BC02
C=CC[C@@H]1/C=C(\\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,D11AH; L04AD,J01AA03
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,J01DB,A07AA07
CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1,R01AC,"J16AA
"
CN[C@@]1(C)[C@H]2CC[C@@H](C2)C1(C)C,C02BB,J01AA01
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,L01CA,J/01AA03
Nc1nc(=O)c2c(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,L01BA,A07BA07
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,A01AB; D06AA; J01AA; S01AA,A07AA07
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,N05CA,A01AA02
C1CCC2(C1)[C@H]1CN(CC3CC3)C[C@@H]2CN(CC2CC2)C1,C01BD,J16AA
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,C09CA; C09DA; C09DB; C09DX,A07AA07
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,C01EB,A07AA07
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,N05CA; N05CB,A01AA02
C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@H]1O[C@H]12,A03BB; S01FA,A07AA07
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,M05BA,H01AA03
N=C(N)NCCC[C@H](N)C(=O)O,A05BA; B05XB,A07AA07
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,C07AB,J/013
CN1C(=O)N(C)C2C1N(C)C(=O)N2C,N06BX,J01AA03
CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,A11DA,M01AA02
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,J01EB,A07BA08
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,G01AE; S01EC,A07BC01
CN1CCC23c4c5ccc(OCCN6CCOCC6)c4OC2C(O)C=CC3C1C5,R05FA,A01DB06
CO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,J05AH,A07AA07
Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,A04AA,M05AA02
CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1,A03FA,A07BC02
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,J01GB,J/01/007
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,A06AD; A06AG; B05CX,A09AA09
CO/N=C(\\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C\\c3scnc3C)CS[C@H]12)c1csc(N)n1,J01DD,J/01/066
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,C10AX; C10BA,A07AA07
Cn1nnc2c(C(N)=O)ncn2c1=O,L01AX,J15AA
Cc1cc2cc(Oc3ccnc(Nc4cccc(CS(=O)(=O)NCCN(C)C)c4)n3)ccc2[nH]1,L01EX,"J (Neuropathic Agents)
"
C[C@]12C=CC(=O)C=C1C(Cl)=C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,H02AB,A07AA07
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@@H]2OC1=CCCC1,A14AA,J01AA02
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,J01XE,A07BC01
CN[C@]1(C)[C@H]2CC[C@@H](C2)C1(C)C,C02BB,J01AA03
CCCCCCCCCCCCCCCC[n+]1ccccc1,A01AB; B05CA; D08AJ; D09AA; R02AA,A15AA01
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,P03AB,A07BC02
CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,N02BE,A07AA07
NC(CCC(=O)O)C(=O)O,N05CM,A43AA02
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,L01EA,J04AA03
CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,N05BA,A07BA08
CCN(CC)C(=O)c1cccnc1,R07AB,A01AA04
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,A04AA,M05AA04
